#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,Goa College of Engineering (GEC),"B.E. (Civil, Mechanical, Electrical, Electronics & Telecommunication, Computer, Information Technology, Electronics & Instrumentation)",South Goa,"Bhausaheb Bandodkar Technical Education Complex, Farmagudi, Ponda, Goa 403401",+91-832-2336301 | principal@gec.ac.in,https://www.gec.ac.in/,Goa
2,Padre Conceicao College of Engineering (PCCE),"B.E. (Computer, Electronics & Telecommunication, Mechanical, Information Technology)",South Goa,"Agnel Technical Education Complex, Verna, Goa 403722",+91-832-2791266 | pccegoa@gmail.com,https://pccegoa.edu.in/,Goa
3,Don Bosco College of Engineering (DBCE),"B.E. (Civil, Computer, Electronics & Communication, Mechanical)",South Goa,"Fatorda, Margao, Goa 403602",+91-832-2741045 | dbce@dbcegoa.ac.in,https://dbcegoa.ac.in/,Goa
4,Shree Rayeshwar Institute of Engineering and Information Technology (SRIEIT),"B.E. (Computer, Electronics & Telecommunication, Information Technology)",South Goa,"Shiv Shail, Karai, Shiroda, Goa 403103",+91-832-2307001 | principal@ritgoa.ac.in,https://ritgoa.ac.in/,Goa
5,Agnel Institute of Technology and Design (AITD),"B.E. (Computer, Electronics & Communication, Mechanical)",North Goa,"Assagao, Bardez, Goa 403507",+91-832-2268642 | aitdgoa@gmail.com,https://aitdgoa.edu.in/,Goa
6,National Institute of Technology Goa (NIT Goa),"B.Tech (Civil, Computer Science & Engineering, Electronics & Communication, Electrical & Electronics, Mechanical)",South Goa,"Farmagudi, Ponda, Goa 403401",+91-832-2404200 | registrar@nitgoa.ac.in,https://www.nitgoa.ac.in/,Goa
7,Indian Institute of Technology Goa (IIT Goa),"B.Tech (Computer Science & Engineering, Electrical Engineering, Mechanical Engineering, Mathematics & Computing)",South Goa,"Farmagudi, Ponda, Goa 403401",+91-832-249-0895 | admin@iitgoa.ac.in,https://iitgoa.ac.in/,Goa
8,Birla Institute of Technology & Science Pilani Goa Campus (BITS Goa),"B.E. (Chemical, Computer Science, Electrical & Electronics, Electronics & Instrumentation, Mechanical)",South Goa,"NH-17B, Bypass Road, Zuarinagar, Sancoale, Goa 403726",+91-832-2580250 | admissions@goa.bits-pilani.ac.in,https://www.bits-pilani.ac.in/goa/,Goa
9,Goa Institute of Management (GIM),"PGDM (General, Healthcare Management, Big Data Analytics, Banking Insurance & Financial Services)",North Goa,"Poriem, Sattari, Goa 403505",+91-832-2366700 | admissions@gim.ac.in,https://gim.ac.in/,Goa
10,Goa University Department of Management Studies,"MBA (General, Financial Services)",North Goa,"Taleigao Plateau, Goa 403206",+91-832-2451345 | head.management@unigoa.ac.in,https://www.unigoa.ac.in/,Goa
11,S.S. Dempo College of Commerce and Economics,"PGDM (Event Management, Business Administration)",North Goa,"Serra Building, Altinho, Panaji, Goa 403001",+91-832-2422543 | principal@dempocollege.edu.in,https://dempocollege.edu.in/,Goa
12,National Institute of Construction Management and Research (NICMAR) Goa,PGP in Advanced Construction Management (PGDM equivalent),South Goa,"Farmagudi, Ponda, Goa 403401",+91-832-2335010 | goa@nicmar.ac.in,https://www.nicmar.ac.in/,Goa
13,Indian Institute of Tourism and Travel Management (IITTM) Goa,MBA (Tourism and Travel Management),North Goa,"Behind Mapusa Residency, Mapusa, Goa 403507",+91-832-2436400 | iittmgoa@gmail.com,https://www.iittm.ac.in/,Goa
