#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,National Institute of Technology Agartala,"B.Tech (Chemical Engineering, Civil Engineering, Computer Science & Engineering, Electrical Engineering, Electronics & Communication Engineering, Mechanical Engineering, Production Engineering, Bio Engineering, Electronics & Instrumentation Engineering), MBA",West Tripura,"Barjala, Jirania, Agartala, Tripura 799046",+91-381-2546630 | registrar@nita.ac.in,https://www.nita.ac.in/,Tripura
2,Indian Institute of Information Technology Agartala,B.Tech (Computer Science & Engineering),West Tripura,"C/O NIT Agartala, Barjala, Jirania, Agartala, Tripura 799046",+91-381-2548537 | iiitagartala@gmail.com,https://www.iiitagartala.ac.in/,Tripura
3,Tripura Institute of Technology,"B.Tech (Civil Engineering, Computer Science & Engineering, Electrical Engineering, Electronics & Telecommunication Engineering, Mechanical Engineering)",West Tripura,"Narsingarh, Agartala, Tripura 799009",+91-381-2342336 | titagartala@gmail.com,https://titagartala.ac.in/,Tripura
4,ICFAI University Tripura,"B.Tech (Civil Engineering, Computer Science & Engineering, Electronics & Communication Engineering, Mechanical Engineering), MBA",West Tripura,"Kamalghat, Mohanpur, Agartala, Tripura 799210",+91-8415952506 | admissions@iutripura.edu.in,https://www.iutripura.edu.in/,Tripura
5,Techno College of Engineering Agartala,"B.Tech (Civil Engineering, Computer Science & Engineering, Electrical Engineering, Mechanical Engineering)",West Tripura,"Maheshkhala, Madhuban, Agartala, Tripura 799003",+91-8415900009 | tcea2014@gmail.com,https://tcea.co.in/,Tripura
6,Techno India University Tripura,"B.Tech (Computer Science & Engineering, Civil Engineering, Mechanical Engineering, Electrical Engineering), MBA",West Tripura,"BDO Office Road, Madhuban, Agartala, Tripura 799003",+91-8794682672 | admission@technoindiaeducation.com,https://www.technoindiauniversity.ac.in/tripura/,Tripura
7,Tripura University,MBA,West Tripura,"Suryamaninagar, Agartala, Tripura 799022",+91-381-2374801 | registrar@tripurauniv.ac.in,https://www.tripurauniv.ac.in/,Tripura
8,CIPET: Centre for Skilling and Technical Support Agartala,B.Tech (Plastics Engineering),West Tripura,"Bodhjungnagar Industrial Growth Centre, R.K. Nagar, Khayerpur, Agartala, Tripura 799008",+91-381-2370259 | cipetagartala@gmail.com,https://www.cipet.gov.in/centres/csts-agartala/,Tripura
9,Aryavart International University,"B.Tech (Computer Science & Engineering, Civil Engineering, Mechanical Engineering)",North Tripura,"Dharmanagar, North Tripura, Tripura 799250",+91-7086504063 | info@aryavartuniversity.ac.in,https://www.aryavartinternationaluniversity.edu.in/,Tripura
10,Maharaja Bir Bikram University,MBA,West Tripura,"College Tilla, Agartala, Tripura 799004",+91-381-2512252 | registrar@mbbuniversity.ac.in,https://www.mbbuniversity.ac.in/,Tripura
11,Holy Cross College Agartala,MBA,West Tripura,"Jubatara, Lembucherra P.O., Agartala, Tripura 799210",+91-381-2860522 | principal@hccagt.ac.in,https://hccagt.ac.in/,Tripura
