#,College Name,Course(s) Offered,District,Full Address,Contact,Website,UT,State
1,National Institute of Technology Puducherry,"B.Tech (Computer Science & Engineering, Electronics & Communication Engineering, Electrical & Electronics Engineering, Mechanical Engineering, Civil Engineering, Artificial Intelligence & Data Science)",Karaikal,"Thiruvettakudy, Karaikal, Puducherry 609609",+91-4368-265230 | registrar@nitpy.ac.in,https://www.nitpy.ac.in/,Puducherry,Puducherry
2,Puducherry Technological University,"B.Tech (Computer Science & Engineering, Electronics & Communication Engineering, Electrical & Electronics Engineering, Mechanical Engineering, Civil Engineering, Chemical Engineering, Information Technology, Electronics & Instrumentation Engineering)",Puducherry,"East Coast Road, Pillaichavady, Puducherry 605014",+91-413-2655281 | registrar@ptuniv.edu.in,https://www.ptuniv.edu.in/,Puducherry,Puducherry
3,Sri Manakula Vinayagar Engineering College,"B.Tech (Artificial Intelligence & Data Science, Computer Science & Engineering, Electronics & Communication Engineering, Electrical & Electronics Engineering, Information Technology, Mechanical Engineering, Civil Engineering, Bio Medical Engineering), MBA",Puducherry,"Madagadipet, Mannadipet Commune, Puducherry 605107",+91-413-2642000 | principal@smvec.ac.in,https://smvec.ac.in/,Puducherry,Puducherry
4,Manakula Vinayagar Institute of Technology,"B.Tech (Artificial Intelligence & Machine Learning, Computer Science & Engineering, Electrical & Electronics Engineering, Electronics & Communication Engineering, Information Technology, Mechanical Engineering, Robotics & Automation), MBA",Puducherry,"Kalitheerthalkuppam, Mannadipet Commune, Puducherry 605107",+91-413-2643007 | mvit@mvit.edu.in,https://mvit.edu.in/,Puducherry,Puducherry
5,Rajiv Gandhi College of Engineering and Technology,"B.Tech (Computer Science & Engineering, Information Technology, Electronics & Communication Engineering, Electrical & Electronics Engineering, Mechanical Engineering, Bio Medical Engineering, Artificial Intelligence & Data Science), MBA",Puducherry,"Pondy-Cuddalore Main Road, Kirumampakkam, Puducherry 607403",+91-413-2615309 | info@rgcetpdy.ac.in,https://www.rgcetpdy.ac.in/,Puducherry,Puducherry
6,Alpha College of Engineering & Technology,"B.Tech (Computer Science & Engineering, Information Technology, Electronics & Communication Engineering, Electrical & Electronics Engineering, Mechanical Engineering, Civil Engineering)",Puducherry,"Kanniakovil-Bahour Main Road, Bahour, Puducherry 607402",+91-413-2611556 | acet@alpha.edu.in,https://www.aect.edu.in/,Puducherry,Puducherry
7,Achariya College of Engineering Technology,"B.Tech (Computer Science & Engineering, Electronics & Communication Engineering, Electrical & Electronics Engineering, Mechanical Engineering, Civil Engineering, Artificial Intelligence & Data Science)",Puducherry,"Achariyapuram, Villianur Post, Puducherry 605110",+91-413-2660888 | info@acet.edu.in,https://acet.edu.in/,Puducherry,Puducherry
8,Christ Institute of Technology,"B.Tech (Computer Science & Engineering, Electronics & Communication Engineering, Mechanical Engineering, Civil Engineering)",Puducherry,"Ramanathapuram Revenue Village, Commune Villianur, Puducherry 605502",+91-413-2660702 | citpondy@yahoo.com,https://www.citpondy.in/,Puducherry,Puducherry
9,Perunthalaivar Kamarajar Institute of Engineering and Technology,"B.Tech (Computer Science & Engineering, Electronics & Communication Engineering, Information Technology)",Karaikal,"Nedungadu, Karaikal, Puducherry 609603",+91-4368-262011 | principal@pkiet.edu.in,https://www.pkiet.edu.in/,Puducherry,Puducherry
10,Christ College of Engineering and Technology,"B.Tech (Computer Science & Engineering, Electronics & Communication Engineering, Electrical & Electronics Engineering, Mechanical Engineering, Information Technology, Civil Engineering), MBA",Puducherry,"Pitchaveeranpet, Moolakulam, Oulgaret Municipality, Puducherry 605010",+91-413-2293493 | ccet@christcet.edu.in,https://christcet.edu.in/,Puducherry,Puducherry
11,Raak College of Engineering and Technology,"B.Tech (Computer Science & Engineering, Information Technology, Electronics & Communication Engineering, Electrical & Electronics Engineering, Mechanical Engineering, Artificial Intelligence & Data Science), MBA",Puducherry,"No.1, Muthupillai Palayam Road, G.N. Palayam, Puducherry 605110",+91-413-2660660 | raakengg@gmail.com,https://www.raakcet.com/,Puducherry,Puducherry
12,Pondicherry University,"MBA (Marketing, Finance, Human Resource Management, Operations, Business Analytics)",Puducherry,"R.V. Nagar, Kalapet, Puducherry 605014",+91-413-2655179 | registrar@pondiuni.edu.in,https://www.pondiuni.edu.in/,Puducherry,Puducherry
13,Sri Ganesh College of Engineering and Technology,"B.Tech (Computer Science & Engineering, Electronics & Communication Engineering, Electrical & Electronics Engineering, Artificial Intelligence & Data Science, Cyber Security)",Puducherry,"Pondy-Cuddalore Main Road, Keelparikalpet, Bahour Commune, Puducherry 607402",+91-413-2615300 | sgcet@sgcet.com,https://www.sgcet.com/,Puducherry,Puducherry
14,Sri Venkateshwaraa College of Engineering and Technology,"B.Tech (Computer Science & Engineering, Electronics & Communication Engineering, Electrical & Electronics Engineering, Mechanical Engineering, Bio Medical Engineering), MBA",Puducherry,"13-A, Pondy-Villupuram Main Road, Ariyur, Puducherry 605102",+91-413-2644426 | svcet_pdy@yahoo.com,https://www.svcet.ac.in/,Puducherry,Puducherry
15,Bharathiar College of Engineering and Technology,"B.Tech (Computer Science & Engineering, Electronics & Communication Engineering, Electrical & Electronics Engineering, Mechanical Engineering, Information Technology)",Karaikal,"Thiruvettakudy, Karaikal, Puducherry 609609",+91-4368-265915 | bcetmail@gmail.com,https://www.bcet.edu.in/,Puducherry,Puducherry
16,Regency Institute of Technology,"B.Tech (Computer Science & Engineering, Electronics & Communication Engineering, Electrical & Electronics Engineering, Mechanical Engineering), MBA",Yanam,"Kakinada-Yanam Road, Yanam, Puducherry 533464",+91-884-2314292 | rit_ynm@yahoo.co.in,https://www.rit.ac.in/,Puducherry,Puducherry
17,RVS College of Engineering and Technology,"B.Tech (Computer Science & Engineering, Electronics & Communication Engineering, Electrical & Electronics Engineering, Mechanical Engineering)",Karaikal,"Kalikuppam, Thiruvettakudy Post, Karaikal, Puducherry 609609",Not Available (after search),Not Available (after search),Puducherry,Puducherry
18,Achariya School of Business & Technology,"MBA (Hospital Management, General)",Puducherry,"Achariyapuram, Villianur, Puducherry 605110",+91-413-3190599 | asbt@achariya.org,https://www.achariya.org/asbt/,Puducherry,Puducherry
19,Mahe Co-operative Centre for Information Technology,MBA (General),Mahe,"Cemetery Road, Mahe, Puducherry 673310",Not Available (after search),Not Available (after search),Puducherry,Puducherry
